State,Year,Month,Week,Tested,Confirmed,Recovered,Deceased
"Andaman and Nicobar Islands",2020,April,"Week 1",0,70,0,0
"Andaman and Nicobar Islands",2020,April,"Week 2",0,77,60,0
"Andaman and Nicobar Islands",2020,April,"Week 3",7015,96,76,0
"Andaman and Nicobar Islands",2020,April,"Week 4",16539,201,81,0
"Andaman and Nicobar Islands",2020,April,"Week 5",5696,66,31,0
"Andaman and Nicobar Islands",2020,August,"Week 1",178671,6500,2114,86
"Andaman and Nicobar Islands",2020,August,"Week 2",192823,12353,5391,148
"Andaman and Nicobar Islands",2020,August,"Week 3",202410,17710,10011,204
"Andaman and Nicobar Islands",2020,August,"Week 4",217337,20570,15266,262
"Andaman and Nicobar Islands",2020,August,"Week 5",98566,9317,7752,135
"Andaman and Nicobar Islands",2020,December,"Week 1",952106,33190,32228,427
"Andaman and Nicobar Islands",2020,December,"Week 2",1036632,33607,32624,427
"Andaman and Nicobar Islands",2020,December,"Week 3",1127269,34065,32996,428
"Andaman and Nicobar Islands",2020,December,"Week 4",1217075,34367,33456,434
"Andaman and Nicobar Islands",2020,December,"Week 5",541710,14822,14457,186
"Andaman and Nicobar Islands",2020,July,"Week 1",117103,857,441,0
"Andaman and Nicobar Islands",2020,July,"Week 2",127796,1117,679,0
"Andaman and Nicobar Islands",2020,July,"Week 3",138227,1350,1005,0
"Andaman and Nicobar Islands",2020,July,"Week 4",153583,2029,1251,2
"Andaman and Nicobar Islands",2020,July,"Week 5",70870,1446,616,10
"Andaman and Nicobar Islands",2020,June,"Week 1",59572,231,231,0
"Andaman and Nicobar Islands",2020,June,"Week 2",72444,256,231,0
"Andaman and Nicobar Islands",2020,June,"Week 3",87872,316,241,0
"Andaman and Nicobar Islands",2020,June,"Week 4",100033,439,290,0
"Andaman and Nicobar Islands",2020,June,"Week 5",31119,187,90,0
"Andaman and Nicobar Islands",2020,March,"Week 4",0,16,0,0
"Andaman and Nicobar Islands",2020,March,"Week 5",0,29,0,0
"Andaman and Nicobar Islands",2020,May,"Week 1",26278,231,203,0
"Andaman and Nicobar Islands",2020,May,"Week 2",26278,231,231,0
"Andaman and Nicobar Islands",2020,May,"Week 3",44999,231,231,0
"Andaman and Nicobar Islands",2020,May,"Week 4",51746,231,231,0
"Andaman and Nicobar Islands",2020,May,"Week 5",22840,99,99,0
"Andaman and Nicobar Islands",2020,November,"Week 1",654571,30717,29135,420
"Andaman and Nicobar Islands",2020,November,"Week 2",716579,31436,29883,423
"Andaman and Nicobar Islands",2020,November,"Week 3",778778,32112,30651,427
"Andaman and Nicobar Islands",2020,November,"Week 4",852330,32710,31353,427
"Andaman and Nicobar Islands",2020,November,"Week 5",257301,9414,9087,122
"Andaman and Nicobar Islands",2020,October,"Week 1",435357,27204,25578,374
"Andaman and Nicobar Islands",2020,October,"Week 2",483522,28030,26287,385
"Andaman and Nicobar Islands",2020,October,"Week 3",526675,28760,27071,391
"Andaman and Nicobar Islands",2020,October,"Week 4",577376,29677,27888,405
"Andaman and Nicobar Islands",2020,October,"Week 5",262957,12954,12230,177
"Andaman and Nicobar Islands",2020,September,"Week 1",263914,22809,20010,340
"Andaman and Nicobar Islands",2020,September,"Week 2",305123,24401,22114,357
"Andaman and Nicobar Islands",2020,September,"Week 3",347676,25370,23811,364
"Andaman and Nicobar Islands",2020,September,"Week 4",384660,26277,24690,366
"Andaman and Nicobar Islands",2020,September,"Week 5",116898,7656,7195,106
"Andaman and Nicobar Islands",2021,April,"Week 1",2280978,35745,34969,434
"Andaman and Nicobar Islands",2021,April,"Week 2",2363877,36332,35315,435
"Andaman and Nicobar Islands",2021,April,"Week 3",2461502,37649,36269,446
"Andaman and Nicobar Islands",2021,April,"Week 4",2543255,39671,38232,461
"Andaman and Nicobar Islands",2021,April,"Week 5",739841,11824,11344,134
"Andaman and Nicobar Islands",2021,August,"Week 1",3122509,52785,51845,903
"Andaman and Nicobar Islands",2021,August,"Week 2",3185695,52832,51892,903
